Timestamp,What is your current year of study,What is your current relationship status?,How do you prefer studying before exams?,Do you do competitive programming?,Which hostel do you live in?,What is your gender?,What is your favourite sport?,Favourite hangout place in campus,Which state/union territory do you belong to?,What is your dept?,What is your preferred coding language?,What is your favourite place to eat at IIT Guwahati?,Which is your favourite club in IIT Guwahati?,Are you satisfied in IIT Guwahati,What is your current cpi?
2022/08/15 2:57:34 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,,Man,Table tennis ,IIT G lake (in front of library),Haryana,CSE,C++,Rolls Mania/Tacos,Octaves,No,9.86
2022/08/15 2:57:46 pm GMT+5:30,3rd,Single,Studying on a regular basis,No,Manas,Man,Football,IIT G lake (in front of library),Uttar Pradesh,CST,Python,Hostel Canteen,ml.ai,No,1
2022/08/15 2:58:25 pm GMT+5:30,2nd,Single,Studying on a regular basis,No,Disang,Woman,Badminton,IIT G lake (in front of library),West Bengal,ECE,C,Hostel Mess,Robotics,Maybe,9.3
2022/08/15 2:59:33 pm GMT+5:30,2nd,Single,Pulling of all nighters :),No,,Man,Football ,IIT G lake (in front of library),The Government of NCT of Delhi,,Python,Food Court,Coding Club,Maybe,7.5
2022/08/15 3:01:10 pm GMT+5:30,,Single,Studying on a regular basis,No,Lohit,Man,Cricket,IIT G lake (in front of library),Uttar Pradesh,,Java,Hostel Canteen,ml.ai,Yes,8.83
2022/08/15 3:02:53 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,Cricket,Food Court,Chhattisgarh,ECE,C++,Hostel Canteen,ml.ai,Yes,8.43
2022/08/15 3:03:33 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),No,Kapili,Man,Cricket,Hostel Canteen,Rajasthan,CSE,C,Food Court,E cell,Yes,9.26
2022/08/15 3:03:48 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,,Man,Cricket ,Hostel Canteen,Uttar Pradesh,CSE,C++,Hostel Canteen,Coding Club,No,8.86
2022/08/15 3:04:20 pm GMT+5:30,2nd,It's complicated,Studying on a regular basis,Yes,Subansiri,Woman,Basketball,IIT G lake (in front of library),Telangana,CSE,Python,Others,Lit Soc,Yes,7.8
2022/08/15 3:04:23 pm GMT+5:30,2nd,In a relationship,Pulling of all nighters :),Yes,Lohit,Man,Chess,Khoka,Assam,EP,Python,Khoka,Consulting and Analytics,Yes,9
2022/08/15 3:05:02 pm GMT+5:30,3rd,It's complicated,Pulling of all nighters :),Yes,,Prefer not to say,Athletic ,IIT G lake (in front of library),Uttar Pradesh,ME,C++,Hostel Canteen,Alcher,No,7.94
